Team,Matches,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points,WinPercentage
Man City,363,243,60,60,812.0,325.0,487.0,789,66.94214876033058
Man United,363,207,84,72,647.0,364.0,283.0,705,57.02479338842975
Chelsea,363,207,79,77,658.0,369.0,289.0,700,57.02479338842975
Liverpool,362,199,86,77,693.0,391.0,302.0,683,54.972375690607734
Arsenal,363,196,83,84,674.0,418.0,256.0,671,53.994490358126725
Tottenham,363,196,82,85,632.0,403.0,229.0,670,53.994490358126725
Everton,363,140,108,115,508.0,449.0,59.0,528,38.56749311294766
Newcastle,325,106,73,146,385.0,491.0,-106.0,391,32.61538461538461
West Ham,324,101,86,137,409.0,491.0,-82.0,389,31.17283950617284
Southampton,287,95,81,111,364.0,387.0,-23.0,366,33.10104529616725
Stoke,304,93,86,125,326.0,422.0,-96.0,365,30.592105263157894
West Brom,304,85,87,132,343.0,445.0,-102.0,342,27.960526315789476
Swansea,266,82,66,118,306.0,383.0,-77.0,312,30.82706766917293
Leicester,211,87,49,75,315.0,281.0,34.0,310,41.23222748815166
Crystal Palace,249,81,54,114,284.0,344.0,-60.0,297,32.53012048192771
Sunderland,266,64,78,124,280.0,400.0,-120.0,270,24.06015037593985
Aston Villa,249,58,67,124,256.0,412.0,-156.0,241,23.293172690763054
Fulham,190,52,46,92,221.0,320.0,-99.0,202,27.368421052631582
Bournemouth,173,52,41,80,221.0,297.0,-76.0,197,30.057803468208093
Watford,173,52,39,82,193.0,275.0,-82.0,195,30.057803468208093
Burnley,173,50,41,82,172.0,249.0,-77.0,191,28.901734104046245
Norwich,173,42,46,85,182.0,294.0,-112.0,172,24.277456647398843
Wolves,135,39,35,61,163.0,221.0,-58.0,152,28.888888888888886
Wigan,114,29,34,51,129.0,196.0,-67.0,121,25.438596491228072
Hull,114,27,25,62,108.0,184.0,-76.0,106,23.684210526315788
Brighton,97,24,28,45,94.0,143.0,-49.0,100,24.742268041237114
QPR,114,22,26,66,115.0,199.0,-84.0,92,19.298245614035086
Bolton,76,22,16,38,98.0,133.0,-35.0,82,28.947368421052634
Blackburn,76,19,17,40,94.0,137.0,-43.0,74,25.0
Cardiff,76,17,13,46,66.0,143.0,-77.0,64,22.36842105263158
Huddersfield,76,12,17,47,50.0,134.0,-84.0,53,15.789473684210526
Birmingham,38,8,15,15,37.0,58.0,-21.0,39,21.052631578947366
Blackpool,38,10,9,19,55.0,78.0,-23.0,39,26.31578947368421
Sheffield United,21,7,8,6,23.0,21.0,2.0,29,33.33333333333333
Reading,38,6,10,22,43.0,73.0,-30.0,28,15.789473684210526
Middlesbrough,38,5,13,20,27.0,53.0,-26.0,28,13.157894736842104
